rspd_id,model_id,purchase
0,100,1
0,122,0
1,97,1
1,37,0
1,585,0
2,134,1
2,95,0
3,589,1
3,333,0
4,577,1
4,223,0
5,139,1
6,328,1
6,489,0
6,337,0
7,337,1
7,322,0
8,491,1
8,84,0
9,691,1
10,118,1
11,793,1
12,645,1
12,739,0
13,591,1
14,711,1
14,683,0
15,589,1
15,333,0
16,485,1
16,700,0
17,591,1
18,701,1
18,694,0
19,577,1
20,591,1
21,647,1
21,84,0
22,678,1
22,429,0
23,694,1
23,704,0
24,793,1
25,491,1
25,224,0
26,480,1
27,337,1
27,743,0
28,328,1
28,769,0
29,586,1
29,769,0
30,77,1
30,780,0
31,589,1
31,91,0
32,600,1
32,700,0
33,337,1
33,353,0
34,120,1
34,283,0
34,647,0
35,704,1
35,355,0
36,128,1
36,351,0
37,482,1
37,430,0
38,196,1
38,226,0
38,32,0
39,32,1
39,351,0
40,333,1
40,324,0
41,790,1
41,733,0
42,122,1
42,32,0
43,678,1
43,139,0
44,324,1
44,700,0
45,95,1
46,704,1
46,333,0
47,122,1
47,37,0
48,116,1
49,485,1
49,226,0
50,209,1
51,209,1
51,95,0
52,209,1
52,585,0
53,334,1
53,741,0
54,571,1
55,211,1
56,128,1
56,37,0
56,100,0
57,485,1
57,324,0
58,322,1
59,95,1
59,134,0
60,585,1
60,334,0
61,340,1
61,87,0
62,585,1
63,99,1
63,128,0
64,118,1
64,144,0
65,337,1
66,337,1
67,455,1
68,645,1
69,139,1
70,489,1
71,77,1
72,492,1
73,585,1
74,704,1
75,691,1
75,733,0
76,645,1
76,769,0
77,99,1
77,224,0
78,333,1
78,704,0
79,591,1
79,224,0
80,705,1
80,489,0
81,122,1
82,571,1
83,707,1
84,491,1
84,348,0
84,739,0
85,491,1
85,743,0
86,491,1
87,489,1
88,489,1
89,700,1
89,324,0
90,591,1
90,586,0
91,707,1
92,587,1
92,743,0
93,587,1
93,743,0
94,484,1
94,733,0
95,704,1
95,741,0
96,333,1
96,741,0
97,491,1
97,355,0
98,491,1
98,770,0
99,491,1
100,337,1
100,333,0
101,591,1
101,334,0
102,324,1
102,779,0
103,645,1
103,84,0
104,482,1
104,339,0
105,583,1
105,144,0
106,589,1
106,694,0
107,38,1
107,96,0
108,114,1
109,178,1
109,707,0
110,97,1
111,792,1
111,678,0
112,105,1
112,120,0
113,118,1
114,693,1
115,591,1
115,339,0
116,37,1
117,586,1
117,585,0
118,337,1
118,691,0
118,693,0
119,586,1
119,691,0
119,743,0
120,97,1
121,585,1
121,348,0
121,739,0
122,571,1
122,348,0
123,116,1
123,32,0
124,75,1
124,95,0
125,678,1
125,122,0
126,105,1
127,134,1
128,100,1
128,134,0
128,37,0
129,322,1
129,769,0
130,144,1
130,102,0
131,704,1
131,333,0
132,585,1
132,345,0
133,333,1
133,704,0
134,333,1
134,348,0
135,337,1
135,346,0
136,585,1
136,345,0
137,589,1
137,704,0
138,589,1
138,333,0
139,333,1
139,704,0
139,432,0
140,337,1
141,571,1
142,571,1
142,733,0
143,324,1
144,491,1
144,324,0
145,122,1
145,95,0
146,102,1
146,32,0
147,324,1
147,604,0
148,324,1
148,700,0
149,600,1
149,324,0
150,647,1
150,733,0
151,571,1
151,739,0
152,678,1
152,139,0
153,591,1
153,735,0
154,583,1
154,700,0
155,571,1
155,430,0
156,102,1
156,32,0
157,802,1
157,144,0
158,324,1
158,700,0
159,683,1
159,139,0
160,571,1
160,739,0
161,94,1
161,139,0
162,94,1
162,591,0
163,122,1
163,95,0
164,790,1
164,739,0
165,139,1
165,94,0
166,707,1
166,324,0
167,691,1
167,279,0
168,333,1
168,704,0
169,585,1
169,84,0
170,32,1
171,589,1
171,704,0
172,704,1
172,333,0
173,700,1
173,324,0
174,693,1
174,348,0
175,697,1
175,16,0
176,711,1
176,339,0
177,701,1
177,741,0
178,704,1
178,333,0
179,697,1
179,16,0
180,693,1
180,348,0
181,711,1
181,774,0
182,705,1
183,571,1
184,600,1
185,571,1
186,100,1
186,37,0
187,100,1
187,95,0
188,100,1
188,37,0
189,587,1
189,743,0
190,211,1
191,693,1
191,739,0
191,348,0
192,571,1
192,739,0
193,333,1
193,337,0
194,328,1
194,735,0
195,338,1
195,340,0
196,337,1
196,322,0
197,340,1
197,87,0
198,328,1
198,767,0
199,324,1
199,700,0
200,334,1
