rspd_id,model_id,purchase
13,171,1
13,32,0
13,102,0
21,707,1
21,324,0
129,324,1
129,707,0
153,707,1
153,779,0
198,699,1
198,707,0
211,650,1
211,598,0
256,32,1
256,102,0
313,32,1
313,102,0
329,291,1
387,171,1
387,102,0
419,707,1
419,324,0
438,707,1
438,324,0
442,707,1
442,324,0
442,354,0
469,707,1
469,302,0
498,650,1
498,309,0
498,351,0
501,707,1
501,324,0
506,707,1
506,324,0
525,707,1
525,324,0
535,650,1
535,440,0
535,351,0
537,650,1
537,351,0
539,707,1
539,354,0
540,707,1
540,699,0
581,272,1
581,102,0
668,309,1
668,351,0
668,374,0
683,779,1
683,309,0
698,778,1
698,309,0
706,764,1
706,302,0
706,231,0
711,291,1
745,309,1
745,324,0
745,359,0
756,309,1
756,294,0
756,505,0
766,440,1
766,707,0
767,309,1
767,351,0
776,309,1
776,401,0
779,291,1
779,715,0
784,309,1
784,637,0
784,10,0
789,309,1
789,16,0
789,562,0
792,291,1
792,450,0
806,298,1
806,650,0
806,647,0
830,309,1
859,309,1
859,598,0
859,324,0
913,291,1
913,527,0
930,294,1
930,309,0
941,309,1
943,309,1
987,309,1
987,699,0
987,324,0
1009,309,1
1009,779,0
1052,294,1
1052,580,0
1053,291,1
1053,715,0
1061,741,1
1061,231,0
1070,726,1
1070,505,0
1070,707,0
1113,725,1
1113,231,0
1113,726,0
1196,726,1
1196,707,0
1210,726,1
1210,231,0
1210,486,0
1279,309,1
1279,779,0
1279,764,0
1325,734,1
1325,741,0
1325,707,0
1360,430,1
1360,102,0
1452,54,1
1452,707,0
1452,735,0
1456,309,1
1456,779,0
1483,779,1
1483,674,0
1483,231,0
1526,309,1
1526,401,0
1526,598,0
1546,157,1
1546,102,0
1555,54,1
1555,10,0
1555,444,0
1565,401,1
1565,779,0
1565,309,0
1613,672,1
1613,783,0
1613,707,0
1629,401,1
1629,309,0
1675,721,1
1675,707,0
1681,272,1
1681,32,0
1681,102,0
1806,674,1
1806,231,0
1850,444,1
1850,178,0
1850,351,0
1851,291,1
1862,444,1
1862,374,0
1884,444,1
1884,699,0
1884,707,0
1891,450,1
1891,231,0
1914,216,1
1914,309,0
1947,725,1
1947,309,0
2025,216,1
2025,779,0
2025,309,0
2028,216,1
2028,359,0
2040,216,1
2040,707,0
2043,444,1
2096,740,1
2096,102,0
2096,351,0
2117,725,1
2117,231,0
2117,673,0
2136,216,1
2136,340,0
2140,216,1
2191,650,1
2191,359,0
2193,650,1
2193,351,0
2198,699,1
2198,707,0
2203,707,1
2203,699,0
2212,707,1
2212,697,0
2240,650,1
2240,359,0
2265,699,1
2265,291,0
2278,102,1
2325,707,1
2325,359,0
2364,32,1
2364,102,0
2414,650,1
2414,583,0
2427,590,1
2427,102,0
2460,102,1
2510,650,1
2510,324,0
2517,144,1
2517,102,0
2582,227,1
2582,309,0
2582,780,0
2728,309,1
2728,324,0
2735,309,1
2735,779,0
2744,309,1
2744,345,0
2773,309,1
2808,309,1
2808,324,0
2809,309,1
2809,707,0
2828,291,1
2944,291,1
3007,272,1
3007,102,0
3056,309,1
3056,324,0
3056,780,0
3075,216,1
3075,226,0
3090,779,1
3090,309,0
3103,674,1
3103,231,0
3103,734,0
3115,617,1
3115,102,0
3127,216,1
3127,309,0
3184,676,1
3184,231,0
3188,216,1
3188,779,0
3188,324,0
3193,216,1
3193,779,0
3207,216,1
3207,637,0
3207,231,0
3217,779,1
3217,309,0
3293,216,1
