model_id,Price_log,price,fuelconsump_modelave,fuelconsump,Power_log,power,import,segment_num,makeorigin
6,19.4169954,0.74092359,11,0.482776456,7.46760555,0.541856652,1,7,C
10,18.27474692,0.529349989,9.979,0.377159408,7.468021182,0.542035655,0,6,C
12,18.78220025,0.623343312,11.613,0.546188062,7.444816125,0.532041781,0,7,C
14,18.77532171,0.622069229,10.903,0.472742319,7.601124495,0.599360132,0,7,C
15,18.322196,0.538138771,10.863,0.468604531,7.408924106,0.51658393,0,11,C
16,18.75221318,0.617788939,11.421,0.526326678,7.710710021,0.646556049,0,11,C
17,18.59414265,0.588510239,10.905,0.472949209,7.436436717,0.528432967,1,11,C
18,19.26224169,0.71225925,12.305,0.617771801,7.857670036,0.709848283,1,11,C
19,19.75293856,0.803148846,14.602,0.855384297,8.061819391,0.797770624,1,13,C
25,16.39225872,0.180665081,12.462,0.63401262,6.971543554,0.328214379,0,10,A
32,16.85853839,0.267031989,10.376,0.418226958,6.955673153,0.32137937,0,12,A
33,16.04061386,0.115531469,8.418,0.215682218,6.714245518,0.217402147,0,10,A
38,16.29202829,0.162099844,8.242,0.197475949,7.033423002,0.354864407,0,4,A
48,19.1117936,0.68439242,11.407,0.524878452,7.811156306,0.689815909,1,7,C
51,20.02894582,0.854272442,12.932,0.682631633,8.120600774,0.823086388,1,9,C
54,18.49780747,0.570666502,10.325,0.412951278,7.570880317,0.586334674,0,6,C
57,18.88606068,0.642580916,11.305,0.514327092,7.743110991,0.660510388,0,7,C
59,18.39570705,0.551754897,11.159,0.499224165,7.313790025,0.475611912,0,11,C
62,18.3575291,0.544683364,11.274,0.511120306,7.346123643,0.489537243,1,11,C
63,19.06028535,0.674851777,11.819,0.567497672,7.76105917,0.668240247,1,11,C
67,20.04591676,0.857415895,13.891,0.781835109,8.243588163,0.876054173,1,13,C
75,16.4454219,0.190512261,7.854,0.157339402,6.608424867,0.171827673,0,5,A
77,16.85878238,0.267077181,8.942,0.269887245,6.987741515,0.335190461,0,10,A
95,15.85654383,0.081436996,7.674,0.138719355,6.728301493,0.223455726,0,4,A
96,16.6404709,0.226640319,9.123,0.288610738,6.964467946,0.325167081,0,5,A
99,16.48703344,0.198219781,9.032,0.279197269,7.17990909,0.417952531,0,5,A
102,16.68574558,0.235026345,10.513,0.432398883,7.154301684,0.406924022,0,12,A
120,16.24150972,0.152742516,7.848,0.156718734,6.936637939,0.313181349,0,4,A
144,16.51937443,0.204210158,8.679,0.242681287,6.945701333,0.31708474,0,10,A
157,16.81443056,0.258862091,9.462,0.323678494,6.783587612,0.247266161,0,4,C
162,17.26989233,0.343225248,9.956,0.37478018,7.206174334,0.429264356,0,4,C
163,17.55889368,0.396755682,11.281,0.511844419,7.286114143,0.463692558,0,5,C
169,16.2822038,0.160280098,8.519,0.226130133,6.714245518,0.217402147,0,4,A
171,16.31003561,0.16543526,8.344,0.208027309,6.868563309,0.283863202,0,14,A
178,17.86364702,0.453203786,12.579,0.646115651,7.438201349,0.529192952,0,12,A
184,16.31970518,0.167226311,8.63,0.237612496,6.878602742,0.28818695,0,4,A
186,16.84079978,0.263746344,10.433,0.424123306,7.095776768,0.381718712,0,5,A
190,15.79537894,0.070107697,7.609,0.131995448,6.629210886,0.180779724,0,2,A
192,16.71757552,0.240922063,9.9,0.368987276,7.138138662,0.399962987,0,10,A
193,16.30722022,0.164913778,7.704,0.141822696,6.608277003,0.171763991,0,2,A
197,15.86733816,0.083436382,7.822,0.154029171,6.6085875,0.171897715,0,2,A
198,16.24155065,0.152750096,7.848,0.156718734,6.882643049,0.289927016,0,4,A
203,16.41303285,0.184512981,8.682,0.242991621,6.88670865,0.291677975,0,4,A
205,16.91519233,0.277525746,10.207,0.400744802,7.209453366,0.430676558,0,10,A
207,16.12632804,0.131407925,7.6,0.131064446,6.741466986,0.229125795,0,2,A
208,16.63386356,0.22541647,8.959,0.271645805,6.795299409,0.252310157,0,5,A
216,17.99097307,0.476787824,13.282,0.718837281,7.434628228,0.527654093,1,12,C
218,17.01700199,0.296383496,8.506,0.224785352,6.972095236,0.328451976,0,4,C
220,16.8085681,0.257776214,8.625,0.237095273,6.77375902,0.243033217,0,10,B
224,16.95469054,0.284841823,8.655,0.240198614,6.995484519,0.338525192,0,4,B
225,16.75175116,0.247252265,9.175,0.293989862,6.932580917,0.311434085,0,4,B
226,17.89608959,0.459212979,11.224,0.505948071,7.719114974,0.650175865,0,10,B
227,17.68317311,0.419775407,10.651,0.446674253,7.569323991,0.5856644,0,5,B
229,17.66767654,0.416905045,11.742,0.55953243,7.303780748,0.471301151,0,14,B
231,18.38066976,0.548969607,12.186,0.605461881,7.937879889,0.744392786,1,12,B
234,18.99511912,0.662781325,13.641,0.755973932,8.164906927,0.842168009,1,12,B
242,17.27206396,0.343627489,10.3,0.41036516,7.288616954,0.46477046,0,10,A
270,16.1205349,0.130334888,8.242,0.197475949,6.829633951,0.26709724,0,4,A
272,16.70987455,0.239495647,9.776,0.356160132,7.129190269,0.396109124,0,10,A
273,15.46210036,0.008375988,7.228,0.092583014,6.301057146,0.039451601,0,1,A
291,19.07200369,0.677022311,15.285,0.926037033,8.169925001,0.844329176,1,12,B
294,18.91896559,0.648675746,14.498,0.844626047,8.06015009,0.797051695,1,13,B
296,17.37691311,0.363048231,9.144,0.290783076,7.108524457,0.387208843,0,10,B
297,17.14206318,0.319548023,8.914,0.266990793,6.950106762,0.318982055,0,4,B
298,16.61806438,0.222490059,9.153,0.291714079,6.773917228,0.243101353,0,4,B
300,18.20526429,0.516480032,13.251,0.715630496,7.366322214,0.498236294,0,14,B
302,18.27676127,0.529723099,13.348,0.725664632,7.661991815,0.62557426,0,14,B
303,17.9371447,0.466817433,10.85,0.46725975,7.641878342,0.616911859,0,8,B
305,17.71071753,0.424877336,10.589,0.440260681,7.4343113,0.527517599,0,5,B
307,18.67271677,0.603064174,11.615,0.546394952,8.059906826,0.796946927,0,7,B
308,16.43724653,0.188997973,7.714,0.142857143,6.692692211,0.208119643,0,2,B
309,17.82782323,0.446568304,12.107,0.597289749,7.366322214,0.498236294,0,12,B
310,16.92793399,0.279885826,8.807,0.25592221,6.944495384,0.316565367,0,4,B
311,16.94006389,0.282132594,9.332,0.310230682,7.139551352,0.4005714,0,5,B
312,17.45488197,0.377490055,10.581,0.439433123,7.303899446,0.471352271,0,5,B
324,17.75274506,0.43266191,10.643,0.445846695,7.363109737,0.496852755,0,10,D
333,17.65685501,0.414900621,10.261,0.406330816,7.36046963,0.495715723,0,5,D
334,16.69199405,0.236183722,7.873,0.159304852,6.900601183,0.297661163,0,2,D
339,16.48986886,0.198744972,7.168,0.086376332,6.507445815,0.128338362,0,2,D
340,17.84991594,0.450660439,11.493,0.533774697,7.475733431,0.54535714,0,14,D
345,16.49193572,0.199127807,8.245,0.197786283,6.781359714,0.246306657,0,4,E
348,16.66864858,0.231859544,8.323,0.205854971,6.919959746,0.305998442,0,4,E
351,17.50274702,0.386355884,10.485,0.429502431,7.333030088,0.483898155,0,10,E
354,18.05573814,0.488783968,11.484,0.532843695,7.617136829,0.606256269,0,10,E
355,17.46754793,0.379836114,10.131,0.392883004,7.333540018,0.48411777,0,5,E
359,17.44229032,0.375157759,10.662,0.447812144,7.237066521,0.442568897,0,10,E
362,16.38444922,0.179218562,7.621,0.133236785,6.736902475,0.227159967,0,2,E
372,16.83428196,0.262539078,10.414,0.422157857,7.072727518,0.371791941,0,10,E
374,18.30817013,0.535540823,13.125,0.702596462,8.022367813,0.780779754,1,10,E
376,18.62756238,0.594700427,9,0.275887038,8,0.771146462,1,12,E
380,18.97498719,0.659052378,13.103,0.700320679,7.878682433,0.718897829,1,11,D
381,19.59604101,0.774087412,14.471,0.84183304,8.402585758,0.94453071,1,13,D
401,17.89136561,0.458337976,11.928,0.578773146,7.344739746,0.488941231,1,10,B
404,19.224794,0.70532298,13.983,0.791352022,8.148430822,0.835072137,1,12,B
405,17.95384563,0.469910872,12.117,0.598324196,7.38730222,0.507271891,1,10,B
406,18.86198422,0.638121341,14.119,0.805420503,8.129283017,0.826825626,1,10,B
411,16.76140129,0.249039715,10.984,0.481121341,7.122848697,0.393377957,0,14,A
415,16.73956346,0.244994793,10.338,0.414296059,7.076184948,0.373280975,0,10,A
418,16.61315276,0.221580301,11.506,0.535119479,6.652844973,0.190958371,0,10,A
419,17.10576029,0.3128238,9.498,0.327402503,7.012278139,0.34575781,0,12,A
423,17.29216383,0.347350498,9.9,0.368987276,7.194756854,0.424347115,1,4,E
426,18.18898156,0.513464053,10.917,0.474190545,7.589965678,0.594554291,1,14,E
427,16.52764499,0.205742078,7.943,0.166545981,6.784124414,0.247497349,0,4,E
429,16.42323989,0.186403586,7.879,0.15992552,6.797402142,0.253215755,0,2,E
430,16.94144481,0.282388376,8.374,0.211130651,6.981658607,0.332570695,0,4,E
432,17.42130781,0.371271262,9.987,0.377986966,7.32307278,0.479609776,0,5,E
439,17.34058753,0.356319805,10.874,0.469742423,7.123221286,0.393538423,0,10,E
440,17.46949259,0.380196315,10.252,0.405399814,7.340864876,0.487272415,0,10,E
441,17.92916948,0.465340219,11.033,0.486190131,7.46760555,0.541856652,1,8,E
443,18.59640754,0.588929754,13.982,0.791248578,8.082149041,0.806526128,1,12,E
444,18.03137037,0.484270434,11.247,0.508327299,7.470943522,0.543294238,1,12,E
448,19.69921631,0.793198113,11.441,0.528395573,7.985961445,0.765100385,1,13,C
450,18.99923202,0.663543139,12.184,0.605254991,7.700835018,0.642303117,1,11,C
451,18.31553692,0.536905339,8.636,0.238233164,6.614709844,0.174534465,1,3,D
459,18.70085637,0.608276346,11.364,0.52043033,7.711047437,0.646701366,1,6,D
465,19.23448277,0.707117589,12.462,0.63401262,7.73365939,0.656439804,1,13,D
473,16.2618975,0.156518852,9.571,0.334953967,7.011227255,0.345305219,0,10,A
480,17.434229,0.373664598,10.659,0.44750181,7.14974712,0.404962477,1,4,D
481,16.29470528,0.162595691,7.276,0.09754836,6.534653056,0.140055883,0,2,D
484,16.72272087,0.241875113,8.064,0.179062791,6.753190001,0.234174623,0,4,D
486,17.91108845,0.461991149,10.234,0.403537809,7.247927513,0.447246472,1,10,D
487,18.14966774,0.506182131,11.876,0.573394021,7.330916878,0.482988046,1,12,D
488,18.75314274,0.617961118,13.8,0.772421641,8.044394119,0.790265968,1,12,D
492,17.78656123,0.438925528,12.041,0.590462398,7.299336252,0.46938701,0,14,D
497,18.20222326,0.515916754,8.999,0.275783594,7.095175458,0.381459742,1,3,C
498,18.54032226,0.578541329,10.692,0.450915486,7.544485386,0.574966996,0,6,C
501,19.12693403,0.687196814,11.578,0.542567498,7.751463721,0.664107712,0,7,C
505,18.85622591,0.637054755,13.383,0.729285197,7.17990909,0.417952531,0,13,C
509,18.53029429,0.576683891,11.057,0.488672804,7.499845887,0.55574181,1,6,C
517,19.00608981,0.664813378,14.228,0.816695976,7.730144029,0.654925821,0,14,C
527,19.79819965,0.811532357,14.102,0.803661943,8.172427509,0.845406948,1,13,C
528,19.57589064,0.770355049,13.659,0.757835937,7.940601373,0.745564865,1,13,C
530,20.22528433,0.890639352,12.487,0.636598738,8.110906073,0.818911107,1,9,C
554,17.63746565,0.411309218,11.326,0.516499431,7.209453366,0.430676558,1,10,D
555,17.19980333,0.330242973,11.2,0.503465398,6.956137988,0.321579563,0,12,D
558,17.30338967,0.34942981,10.14,0.393814006,7.260411503,0.452623033,0,10,D
559,18.34623396,0.542591215,13.224,0.712837488,7.330916878,0.482988046,0,12,D
562,18.07381516,0.492132295,11.774,0.562842661,7.319572777,0.478102407,1,12,D
563,18.50858333,0.572662468,13.78,0.770352746,7.77478706,0.674152528,1,12,D
565,18.85899732,0.63756809,13.526,0.74407779,7.530897882,0.569115176,1,12,D
569,16.95210041,0.284362064,8.817,0.256956657,7.094521118,0.381177933,0,4,D
572,17.1714618,0.324993399,10.922,0.474707769,7.392317423,0.509431821,0,10,D
577,16.59409822,0.218050912,8.064,0.179062791,6.686500527,0.20545303,0,2,D
578,16.28775433,0.161308197,7.324,0.102513706,6.727920455,0.223291621,0,2,D
580,18.89888476,0.644956263,10.5,0.431054102,8.257387843,0.881997372,0,12,D
583,17.34548888,0.35722766,9.676,0.345815662,7.099852731,0.383474134,0,10,D
585,16.50594454,0.201722599,7.565,0.127443881,6.781359714,0.246306657,0,4,D
586,17.19536829,0.32942149,8.985,0.274335368,7.098032083,0.382690024,0,5,D
587,16.83264245,0.262235399,7.891,0.161166856,6.945900276,0.317170421,0,5,D
588,17.79443358,0.440383688,10.309,0.411296162,7.318560886,0.477666609,0,5,D
590,16.88735023,0.272368678,8.01,0.173476777,7.04696027,0.360694591,0,4,D
598,17.79940598,0.441304704,11.109,0.494051929,7.370635103,0.500093754,0,10,D
603,17.51293588,0.388243123,11.954,0.581462708,7.209453366,0.430676558,0,12,D
606,17.85002066,0.450679835,10.777,0.459708286,7.209453366,0.430676558,1,10,C
608,16.25413498,0.155081036,7.709,0.142339919,6.294822896,0.036766655,0,2,C
609,17.63011884,0.409948401,10.844,0.466639081,7.29383946,0.467019671,0,10,C
611,16.63370599,0.225387284,9.645,0.342608876,6.714245518,0.217402147,0,4,C
612,16.77513441,0.251583441,9.636,0.341677873,6.741466986,0.229125795,0,4,C
615,17.08692496,0.309335017,9.855,0.364332264,7.030479546,0.353596729,0,5,C
